UniProt_accession	UniProt_fasta_header	UniProt_gene_symbol	F1	F2	F4	F8	F9	F10	G1	G2	G4	G8	G10	H5	H6	H9	I1	I4	I6	I9	K8	K10	L2
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	749.261024363723	2634.02529472103	925.695708787847	1922.74215219629	1327.81754056983	1181.19898651382	1160.70754170469	1868.18627597321	2003.1719918305	599.891868604341	1121.1264437872	633.63425139966	1081.51792651873	1093.18500529747	698.93978665364	835.898723292674	673.306648260737	1161.64030515194	1203.54954294039	2700.64063370397	2020.27234347473
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	361.181491125115	198.579543147219	281.611704470249	345.545590617006	323.614251059937	298.851304681335	263.144790091915	309.982018232569	230.061102808036	327.741340060591	380.801857023311	500.990225687234	312.236282992695	527.016526134078	332.327831450005	326.799964328662	316.187670309212	304.603296751088	331.841018174341	332.811563104642	280.741203977947
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS PE=1 SV=2	AARS	2589.06807751908	2070.89249462696	2382.0523881685	1893.75861238907	2004.24064803145	1823.2185984802	2291.05662884143	1900.3366791719	2436.4683965198	2742.2575152753	1951.01161291331	2190.96946390046	2587.50280001115	2122.12483844972	2302.85786088948	2466.96706174743	2548.86295566004	2806.66415779768	2799.56791898007	1739.96017393091	1341.69074730791
Q9BTE6-3	>sp|Q9BTE6-3|AASD1_HUMAN Isoform of Q9BTE6, Isoform 3 of Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1	AARSD1	93.3622241073515	77.5125900552722	70.0675407576733	44.7653327365843	102.977404166546	40.1808771248146	71.4871091782404	46.3531926361293	66.1677872925262	70.2211275823826	85.1847998358282	5.30151581355865	69.6100499884742	58.2057985855944	7.65426918442984	62.0941359691848	32.3896735540078	92.2965175274486	73.1692652645015	90.1094926820076	68.3193467695043
Q9NRN7	>sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2	AASDHPPT	83.4682693224681	74.4058923541668	96.0998502647764	56.8318687235979	85.4900649994889	62.3908463891065	71.5820384126574	81.5386249651262	78.9637929407028	75.9834979947291	39.3198915871407	95.081664468283	48.3290235853923	86.0502813757569	69.4364600525245	5.22540354999317	87.2240283070326	113.751856653123	113.817738853951	110.863537483653	119.584668272107
H3BNQ7;H3BRN4;P80404	>tr|H3BNQ7|H3BNQ7_HUMAN Isoform of P80404, 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=1;>tr|H3BRN4|H3BRN4_HUMAN Isoform of P80404, 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=1;>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	1485.97140558475	1868.65059094801	2295.60636194637	1777.38925854843	1939.98146029997	3648.95294695497	3521.6054537674	3453.97759152684	2899.74272349675	4169.88929567058	1015.56365596606	2095.73019667208	2763.89035317564	3146.61049324636	2871.54506872107	4069.28378647533	3938.08349410899	3370.52418088595	3648.20730096612	2109.80893947478	3295.4476263703
Q9NUJ1	>sp|Q9NUJ1|ABHDA_HUMAN Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1	ABHD10	578.463021303773	616.235247633461	371.535648030156	436.102010096554	411.340015146686	417.807852059409	455.273166513178	543.196597659458	454.515093034814	506.986135121069	455.500009143563	575.818612222098	485.695033938448	427.171043882468	563.395842676479	826.460191197639	514.788862157989	857.92731408989	825.058980939098	700.624319400612	569.489406812158
Q8NFV4;Q8NFV4-4	>sp|Q8NFV4|ABHDB_HUMAN Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11 PE=1 SV=1;>sp|Q8NFV4-4|ABHDB_HUMAN Isoform of Q8NFV4, Isoform 4 of Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11	ABHD11	246.417443909295	295.497558555347	288.554176920684	200.603966984202	262.501226019697	130.417805658114	111.454956723337	160.507806888523	112.831262814476	251.379758588542	147.39778002941	173.033977715953	103.967637571158	208.846840693484	5.81959960129991	175.048139189617	318.164891894819	265.869897865627	255.063501424981	110.663419168076	243.336758082275
B4DQI4;F8W9U3;Q96IU4	>tr|B4DQI4|B4DQI4_HUMAN Isoform of Q96IU4, Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;>tr|F8W9U3|F8W9U3_HUMAN Isoform of Q96IU4, Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;>sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1	ABHD14B	12.5660729329413	33.5533007853482	67.2880128328805	19.0053734283139	25.8486852283518	26.0750538233869	48.9744805000729	41.3776222392511	47.7743304993791	54.2557016288038	8.40548418700707	28.637631208237	18.6279725189064	4.33830329033656	2.89329760835005	6.01823794462244	8.88969091325561	18.2891186878618	48.7326855921498	31.5377508974097	44.7936011954561
O95870;O95870-2	>sp|O95870|ABHGA_HUMAN Protein ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A PE=1 SV=3;>sp|O95870-2|ABHGA_HUMAN Isoform of O95870, Isoform 2 of Protein ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A	ABHD16A	18.6687096268643	60.2306298664073	47.9524364648298	68.8755298352005	53.2462122370996	54.0819803191723	47.7771574362508	58.6590396517209	51.07129692126	74.7248278824995	95.5639924089799	41.3289711683888	23.8505578979874	14.2415369376814	38.3219520695684	38.3683943725416	44.7988386535622	16.8357766042857	76.8023037609005	64.6471233482329	45.6234728762959
